,CNTS,CDRW
94,CNTS-00117901508,CDRW20200011143
95,CNTS-00117672592,CDRW20200009665
96,CNTS-00117901522,CDRW20200011157
97,CNTS-00117672597,CDRW20200009670
98,CNTS-00117631621,CDRW20200008968
99,CNTS-00117901521,CDRW20200011156
100,CNTS-00117631599,CDRW20200008952
101,CNTS-00117901516,CDRW20200011151
102,CNTS-00117901546,CDRW20200011181
103,CNTS-00117901535,CDRW20200011170
104,CNTS-00117901540,CDRW20200011175
105,CNTS-00117631622,CDRW20200008969
106,CNTS-00117901543,CDRW20200011178
107,CNTS-00117672587,CDRW20200009662
108,CNTS-00117631585,CDRW20200008942
109,CNTS-00117901493,CDRW20200011129
110,CNTS-00117631598,CDRW20200008951
111,CNTS-00117672580,CDRW20200009656
112,CNTS-00117672605,CDRW20200009678
113,CNTS-00117901526,CDRW20200011161
114,CNTS-00117672584,CDRW20200009659
115,CNTS-00117631609,CDRW20200008956
116,CNTS-00118091372,CDRW20200014770
117,CNTS-00118091363,CDRW20200014761
118,CNTS-00117631579,CDRW20200008936
119,CNTS-00117631614,CDRW20200008961
120,CNTS-00117672590,CDRW20200009663
121,CNTS-00117901523,CDRW20200011158
122,CNTS-00117672616,CDRW20200009684
123,CNTS-00117672594,CDRW20200009667
124,CNTS-00117631586,CDRW20200008943
125,CNTS-00117901528,CDRW20200011163
126,CNTS-00118091370,CDRW20200014768
127,CNTS-00117901560,CDRW20200011195
128,CNTS-00117631577,CDRW20200008934
129,CNTS-00117631623,CDRW20200008970
130,CNTS-00118091362,CDRW20200014760
131,CNTS-00117901500,CDRW20200011135
132,CNTS-00117901504,CDRW20200011139
133,CNTS-00117901552,CDRW20200011187
134,CNTS-00118091357,CDRW20200014755
135,CNTS-00117901491,CDRW20200011128
136,CNTS-00117631573,CDRW20200008930
137,CNTS-00117631612,CDRW20200008959
138,CNTS-00117672565,CDRW20200009653
139,CNTS-00117901513,CDRW20200011148
140,CNTS-00117901514,CDRW20200011149
141,CNTS-00117631613,CDRW20200008960
142,CNTS-00117672606,CDRW20200009679
143,CNTS-00118091371,CDRW20200014769
144,CNTS-00117901506,CDRW20200011141
145,CNTS-00117631578,CDRW20200008935
146,CNTS-00117901549,CDRW20200011184
147,CNTS-00117901556,CDRW20200011191
148,CNTS-00117901502,CDRW20200011137
149,CNTS-00117631611,CDRW20200008958
150,CNTS-00117672607,CDRW20200009680
151,CNTS-00117631591,CDRW20200008948
152,CNTS-00117631597,CDRW20200008950
153,CNTS-00117901541,CDRW20200011176
154,CNTS-00117901577,CDRW20200011203
155,CNTS-00117672604,CDRW20200009677
156,CNTS-00117672617,CDRW20200009685
157,CNTS-00117631618,CDRW20200008965
158,CNTS-00118091368,CDRW20200014766
159,CNTS-00117901538,CDRW20200011173
160,CNTS-00117631606,CDRW20200008954
161,CNTS-00117901507,CDRW20200011142
162,CNTS-00117901485,CDRW20200011124
163,CNTS-00117672615,CDRW20200009683
164,CNTS-00118091364,CDRW20200014762
165,CNTS-00117672566,CDRW20200009654
166,CNTS-00117631588,CDRW20200008945
167,CNTS-00117672602,CDRW20200009675
168,CNTS-00117631580,CDRW20200008937
169,CNTS-00117672618,CDRW20200009686
170,CNTS-00117672579,CDRW20200009655
171,CNTS-00117901509,CDRW20200011144
172,CNTS-00117631582,CDRW20200008939
173,CNTS-00118091356,CDRW20200014754
174,CNTS-00117672582,CDRW20200009657
175,CNTS-00117901495,CDRW20200011131
176,CNTS-00117631624,CDRW20200008971
177,CNTS-00117901545,CDRW20200011180
